month,rank,title
202101,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
202101,2,밤하늘의 별을(2020)
202101,3,Dynamite
202101,4,잠이 오질 않네요
202101,5,Lovesick Girls
202101,6,취기를 빌려 (취향저격 그녀 X 산들)
202101,7,힘든 건 사랑이 아니다
202101,8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
202101,9,Life Goes On
202101,10,오래된 노래
202101,11,Savage Love (Laxed - Siren Beat) (BTS Remix)
202101,12,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
202101,13,에잇(Prod.&Feat. SUGA of BTS)
202101,14,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
202101,15,"CREDIT (Feat. 염따, 기리보이, Zion.T)"
202101,16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
202101,17,혼술하고 싶은 밤
202101,18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
202101,19,When We Disco (Duet with 선미)
202101,20,Blueming
202101,21,늦은 밤 너의 집 앞 골목길에서
202101,22,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)"
202101,23,어떻게 지내 (Prod. By VAN.C)
202101,24,"모든 날, 모든 순간 (Every day, Every Moment)"
202101,25,How You Like That
202101,26,METEOR
202101,27,아로하
202101,28,Freak (Prod. Slom)
202101,29,사실 나는 (Feat.전건호)
202101,30,서면역에서
202101,31,Dolphin
202101,32,"ON AIR (Feat. 로꼬, 박재범 & GRAY)"
202101,33,딩가딩가 (Dingga)
202101,34,마음을 드려요
202101,35,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
202101,36,그날에 나는 맘이 편했을까
202101,37,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
202101,38,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
202101,39,DON'T TOUCH ME
202101,40,거짓말이라도 해서 널 보고싶어
202101,41,Memories
202101,42,2002
202101,43,I CAN’T STOP ME
202101,44,우리 왜 헤어져야 해
202101,45,마리아 (Maria)
202101,46,시작
202101,47,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트)
202101,48,사랑은 지날수록 더욱 선명하게 남아
202101,49,화(火花)
202101,50,봄날
202101,51,홀로
202101,52,살짝 설렜어 (Nonstop)
202101,53,Celebrity
202101,54,한잔이면 지워질까
202101,55,뻔한남자
202101,56,Dance Monkey
202101,57,눈누난나 (NUNU NANA)
202101,58,Downtown Baby
202101,59,가을밤에 든 생각
202101,60,안녕
202101,61,"사랑 못해, 남들 쉽게 다 하는 거"
202101,62,Panorama
202101,63,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom)
202101,64,너를 만나
202101,65,너의 번호를 누르고 (Prod. 영화처럼)
202101,66,소확행
202101,67,Snowman
202101,68,Love poem
202101,69,처음처럼
202101,70,What Do I Call You
202101,71,이제 나만 믿어요
202101,72,우린 어쩌다 헤어진 걸까
202101,73,잘할게
202101,74,행복해
202101,75,사랑하게 될 줄 알았어
202101,76,Don't Start Now
202101,77,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)"
202101,78,나로 바꾸자 (duet with JYP)
202101,79,12:45 (Stripped)
202101,80,아무노래
202101,81,별을 담은 시 (Ode To The Stars)
202101,82,Bad Boy
202101,83,Paris In The Rain
202101,84,Black Mamba
202101,85,너도 아는
202101,86,다시 여기 바닷가
202101,87,Maniac
202101,88,Santa Tell Me
202101,89,12월의 어느 겨울…
202101,90,ON
202101,91,All I Want For Christmas Is You
202101,92,밝게 빛나는 별이 되어 비춰줄게
202101,93,놓아줘 (with 태연)
202101,94,적외선 카메라
202101,95,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트)
202101,96,For You (Feat. Crush)
202101,97,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
202101,98,Blue & Grey
202101,99,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)"
202101,100,내 방을 여행하는 법
202102,1,Celebrity
202102,2,밤하늘의 별을(2020)
202102,3,Dynamite
202102,4,VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
202102,5,잠이 오질 않네요
202102,6,Lovesick Girls
202102,7,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
202102,8,취기를 빌려 (취향저격 그녀 X 산들)
202102,9,에잇(Prod.&Feat. SUGA of BTS)
202102,10,힘든 건 사랑이 아니다
202102,11,오래된 노래
202102,12,Blueming
202102,13,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
202102,14,I'm Not Cool
202102,15,Life Goes On
202102,16,내 손을 잡아
202102,17,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
202102,18,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
202102,19,Savage Love (Laxed - Siren Beat) (BTS Remix)
202102,20,밝게 빛나는 별이 되어 비춰줄게
202102,21,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
202102,22,고백 (바른연애 길잡이 X 허각)
202102,23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
202102,24,화(火花)
202102,25,사실 나는 (Feat.전건호)
202102,26,그날에 나는 맘이 편했을까
202102,27,혼술하고 싶은 밤
202102,28,METEOR
202102,29,"모든 날, 모든 순간 (Every day, Every Moment)"
202102,30,어떻게 지내 (Prod. By VAN.C)
202102,31,늦은 밤 너의 집 앞 골목길에서
202102,32,How You Like That
202102,33,When We Disco (Duet with 선미)
202102,34,Dolphin
202102,35,아로하
202102,36,마음을 드려요
202102,37,2002
202102,38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
202102,39,서면역에서
202102,40,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
202102,41,술 한잔 해요
202102,42,Memories
202102,43,"CREDIT (Feat. 염따, 기리보이, Zion.T)"
202102,44,시작
202102,45,너의 번호를 누르고 (Prod. 영화처럼)
202102,46,거짓말이라도 해서 널 보고싶어
202102,47,우리 왜 헤어져야 해
202102,48,봄날
202102,49,딩가딩가 (Dingga)
202102,50,살짝 설렜어 (Nonstop)
202102,51,Love poem
202102,52,Dance Monkey
202102,53,마리아 (Maria)
202102,54,너를 만나
202102,55,I CAN’T STOP ME
202102,56,사랑은 지날수록 더욱 선명하게 남아
202102,57,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)"
202102,58,DON'T TOUCH ME
202102,59,추억은 만남보다 이별에 남아
202102,60,Panorama
202102,61,Downtown Baby
202102,62,안녕
202102,63,우린 어쩌다 헤어진 걸까
202102,64,홀로
202102,65,Freak (Prod. Slom)
202102,66,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
202102,67,"사랑 못해, 남들 쉽게 다 하는 거"
202102,68,눈누난나 (NUNU NANA)
202102,69,12:45 (Stripped)
202102,70,이제 나만 믿어요
202102,71,"ON AIR (Feat. 로꼬, 박재범 & GRAY)"
202102,72,한잔이면 지워질까
202102,73,처음처럼
202102,74,소확행
202102,75,Don't Start Now
202102,76,Paris In The Rain
202102,77,아무노래
202102,78,가을밤에 든 생각
202102,79,사랑하게 될 줄 알았어
202102,80,뻔한남자
202102,81,What Do I Call You
202102,82,Maniac
202102,83,Bad Boy
202102,84,Black Mamba
202102,85,별을 담은 시 (Ode To The Stars)
202102,86,행복해
202102,87,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트)
202102,88,잘할게
202102,89,다시 여기 바닷가
202102,90,다시 만날까 봐 (Prod.V.O.S)
202102,91,마음이 그래
202102,92,ON
202102,93,Snowman
202102,94,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom)
202102,95,나로 바꾸자 (duet with JYP)
202102,96,너도 아는
202102,97,12월의 어느 겨울…
202102,98,그대 없이 그대와
202102,99,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))
202102,100,Your Lights
202103,1,롤린 (Rollin')
202103,2,Celebrity
202103,3,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
202103,4,Dynamite
202103,5,밤하늘의 별을(2020)
202103,6,밝게 빛나는 별이 되어 비춰줄게
202103,7,On The Ground
202103,8,내 손을 잡아
202103,9,VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
202103,10,잠이 오질 않네요
202103,11,Lovesick Girls
202103,12,취기를 빌려 (취향저격 그녀 X 산들)
202103,13,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
202103,14,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
202103,15,에잇(Prod.&Feat. SUGA of BTS)
202103,16,Blueming
202103,17,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
202103,18,오래된 노래
202103,19,그날에 나는 맘이 편했을까
202103,20,힘든 건 사랑이 아니다
202103,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
202103,22,고백 (바른연애 길잡이 X 허각)
202103,23,사실 나는 (Feat.전건호)
202103,24,Savage Love (Laxed - Siren Beat) (BTS Remix)
202103,25,Life Goes On
202103,26,METEOR
202103,27,"모든 날, 모든 순간 (Every day, Every Moment)"
202103,28,라일락
202103,29,Gone
202103,30,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
202103,31,Dolphin
202103,32,어떻게 지내 (Prod. By VAN.C)
202103,33,I'm Not Cool
202103,34,2002
202103,35,늦은 밤 너의 집 앞 골목길에서
202103,36,How You Like That
202103,37,아로하
202103,38,혼술하고 싶은 밤
202103,39,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
202103,40,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
202103,41,너의 번호를 누르고 (Prod. 영화처럼)
202103,42,봄날
202103,43,마음을 드려요
202103,44,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
202103,45,When We Disco (Duet with 선미)
202103,46,함께 했는데 이별은 나 혼자인 거야
202103,47,추억은 만남보다 이별에 남아
202103,48,Memories
202103,49,서면역에서
202103,50,12:45 (Stripped)
202103,51,술 한잔 해요
202103,52,꼬리 (TAIL)
202103,53,시작
202103,54,살짝 설렜어 (Nonstop)
202103,55,너를 만나
202103,56,Don't Call Me
202103,57,우리 왜 헤어져야 해
202103,58,Dance Monkey
202103,59,이제 나만 믿어요
202103,60,Love poem
202103,61,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파)
202103,62,거짓말이라도 해서 널 보고싶어
202103,63,우린 어쩌다 헤어진 걸까
202103,64,안녕
202103,65,사랑하는 당신께
202103,66,Downtown Baby
202103,67,화(火花)
202103,68,마리아 (Maria)
202103,69,사랑은 지날수록 더욱 선명하게 남아
202103,70,딩가딩가 (Dingga)
202103,71,Paris In The Rain
202103,72,Panorama
202103,73,"CREDIT (Feat. 염따, 기리보이, Zion.T)"
202103,74,I CAN’T STOP ME
202103,75,Don't Start Now
202103,76,홀로
202103,77,다시 만날까 봐 (Prod.V.O.S)
202103,78,소확행
202103,79,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))
202103,80,처음처럼
202103,81,아무노래
202103,82,되풀이
202103,83,Maniac
202103,84,Coin
202103,85,멜로디
202103,86,"사랑 못해, 남들 쉽게 다 하는 거"
202103,87,눈누난나 (NUNU NANA)
202103,88,DON'T TOUCH ME
202103,89,그 한마디 (바른연애 길잡이 X 이하이)
202103,90,Bad Boy
202103,91,사랑하게 될 줄 알았어
202103,92,별을 담은 시 (Ode To The Stars)
202103,93,한잔이면 지워질까
202103,94,What Do I Call You
202103,95,가을밤에 든 생각
202103,96,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)"
202103,97,운전만해 (We Ride)
202103,98,Freak (Prod. Slom)
202103,99,비로소 너에게 도착했다 (Full Bloom)
202103,100,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
